#t step_exp step_exp_err step_rel step_rel_err diff_exp diff_exp_err diff_rel diff_rel_err chem_exp chem_exp_err chem_rel chem_rel_err speedup speedup_err 
87 0.00572817 0 4.72095e-05 0 2.67502e-05 0 3.31191e-05 0 0.00570142 0 1.40904e-05 0 121.335 0.039384
88 0.0057299 0 4.73043e-05 0 2.68381e-05 0 3.3223e-05 0 0.00570306 0 1.40813e-05 0 121.129 0.0416265
89 0.00574339 0 4.73907e-05 0 2.68938e-05 0 3.33168e-05 0 0.0057165 0 1.40738e-05 0 121.193 0.0387473
90 0.0057416 0 4.74764e-05 0 2.69511e-05 0 3.33985e-05 0 0.00571465 0 1.4078e-05 0 120.936 0.0308768
91 0.00575189 0 4.75432e-05 0 2.70239e-05 0 3.34633e-05 0 0.00572487 0 1.40799e-05 0 120.982 0.0357112
92 0.00576422 0 4.76812e-05 0 2.71006e-05 0 3.35648e-05 0 0.00573712 0 1.41164e-05 0 120.891 0.0374978
93 0.00577074 0 4.77337e-05 0 2.71573e-05 0 3.3651e-05 0 0.00574359 0 1.40826e-05 0 120.895 0.0387624
94 0.00577957 0 4.78358e-05 0 2.72071e-05 0 3.37351e-05 0 0.00575236 0 1.41008e-05 0 120.821 0.0342434
95 0.00578662 0 4.79123e-05 0 2.72983e-05 0 3.38066e-05 0 0.00575932 0 1.41057e-05 0 120.775 0.0406445
96 0.00579517 0 4.80203e-05 0 2.73699e-05 0 3.38824e-05 0 0.0057678 0 1.41379e-05 0 120.682 0.0381302
97 0.0058023 0 4.80865e-05 0 2.74113e-05 0 3.39695e-05 0 0.00577488 0 1.4117e-05 0 120.664 0.0406169
98 0.00581524 0 4.81668e-05 0 2.74709e-05 0 3.40516e-05 0 0.00578777 0 1.41153e-05 0 120.731 0.0456128
99 0.00582709 0 4.82925e-05 0 2.75328e-05 0 3.41555e-05 0 0.00579955 0 1.41369e-05 0 120.663 0.0508981
100 0.00583208 0 4.83442e-05 0 2.76239e-05 0 3.42022e-05 0 0.00580446 0 1.4142e-05 0 120.637 0.0353878
101 0.00584226 0 4.84447e-05 0 2.76431e-05 0 3.42832e-05 0 0.00581462 0 1.41615e-05 0 120.597 0.0419834
102 0.00583982 0 4.84992e-05 0 2.77406e-05 0 3.43651e-05 0 0.00581208 0 1.41341e-05 0 120.411 0.0419448
103 0.00585005 0 4.86255e-05 0 2.77929e-05 0 3.44386e-05 0 0.00582226 0 1.41869e-05 0 120.308 0.033113
104 0.00584516 0 4.86793e-05 0 2.7855e-05 0 3.45304e-05 0 0.00581731 0 1.41489e-05 0 120.075 0.0465571
105 0.00585988 0 4.87788e-05 0 2.79212e-05 0 3.46215e-05 0 0.00583196 0 1.41573e-05 0 120.132 0.0393559
106 0.00585771 0 4.88242e-05 0 2.79818e-05 0 3.46851e-05 0 0.00582973 0 1.41391e-05 0 119.976 0.034619
107 0.00587516 0 4.89566e-05 0 2.80403e-05 0 3.47558e-05 0 0.00584711 0 1.42008e-05 0 120.007 0.0422298
108 0.00587246 0 4.90019e-05 0 2.81178e-05 0 3.48424e-05 0 0.00584434 0 1.41595e-05 0 119.841 0.0398989
109 0.00588796 0 4.91114e-05 0 2.81703e-05 0 3.49162e-05 0 0.00585979 0 1.41952e-05 0 119.89 0.0421581
110 0.00589149 0 4.91577e-05 0 2.8208e-05 0 3.49772e-05 0 0.00586328 0 1.41805e-05 0 119.849 0.038134
111 0.00589779 0 4.92876e-05 0 2.82805e-05 0 3.50631e-05 0 0.00586951 0 1.42245e-05 0 119.661 0.041895
112 0.0059096 0 4.93221e-05 0 2.83273e-05 0 3.51507e-05 0 0.00588128 0 1.41714e-05 0 119.817 0.0322617
113 0.00591612 0 4.94363e-05 0 2.83911e-05 0 3.52203e-05 0 0.00588773 0 1.42161e-05 0 119.672 0.0422249
114 0.00592411 0 4.94819e-05 0 2.84778e-05 0 3.52999e-05 0 0.00589564 0 1.4182e-05 0 119.723 0.0454321
115 0.0059238 0 4.96051e-05 0 2.85509e-05 0 3.53696e-05 0 0.00589525 0 1.42355e-05 0 119.419 0.0367745
116 0.0059308 0 4.96427e-05 0 2.85933e-05 0 3.54511e-05 0 0.00590221 0 1.41915e-05 0 119.47 0.0365018
117 0.00593357 0 4.97379e-05 0 2.86415e-05 0 3.55033e-05 0 0.00590492 0 1.42346e-05 0 119.297 0.038318
118 0.00594074 0 4.97906e-05 0 2.86949e-05 0 3.55893e-05 0 0.00591205 0 1.42013e-05 0 119.314 0.0369135
119 0.00594938 0 4.99156e-05 0 2.87329e-05 0 3.5652e-05 0 0.00592065 0 1.42637e-05 0 119.189 0.0411084
120 0.00595387 0 4.99551e-05 0 2.88249e-05 0 3.57285e-05 0 0.00592505 0 1.42266e-05 0 119.184 0.0360024
121 0.00595589 0 5.00417e-05 0 2.88812e-05 0 3.58078e-05 0 0.00592701 0 1.42338e-05 0 119.019 0.0357428
122 0.00596703 0 5.01065e-05 0 2.89331e-05 0 3.58822e-05 0 0.0059381 0 1.42244e-05 0 119.087 0.041644
123 0.00597223 0 5.02087e-05 0 2.90171e-05 0 3.59566e-05 0 0.00594321 0 1.42521e-05 0 118.948 0.035691
124 0.00598853 0 5.02657e-05 0 2.90461e-05 0 3.60265e-05 0 0.00595948 0 1.42393e-05 0 119.137 0.0341783
125 0.00598428 0 5.03475e-05 0 2.90919e-05 0 3.60881e-05 0 0.00595519 0 1.42594e-05 0 118.86 0.0519143
126 0.00599385 0 5.04214e-05 0 2.91616e-05 0 3.61734e-05 0 0.00596469 0 1.4248e-05 0 118.875 0.0416224
127 0.00600159 0 5.04923e-05 0 2.9216e-05 0 3.6235e-05 0 0.00597238 0 1.42572e-05 0 118.862 0.0393113
128 0.00600428 0 5.05764e-05 0 2.92949e-05 0 3.63101e-05 0 0.00597498 0 1.42662e-05 0 118.717 0.0423221
129 0.00600625 0 5.06363e-05 0 2.9308e-05 0 3.63829e-05 0 0.00597694 0 1.42533e-05 0 118.616 0.0355614
130 0.00600719 0 5.07188e-05 0 2.93882e-05 0 3.6446e-05 0 0.0059778 0 1.42728e-05 0 118.441 0.0388943
131 0.00600727 0 5.08028e-05 0 2.94168e-05 0 3.65401e-05 0 0.00597785 0 1.42628e-05 0 118.247 0.0324417
132 0.00601131 0 5.08771e-05 0 2.94909e-05 0 3.65819e-05 0 0.00598182 0 1.42952e-05 0 118.153 0.0372509
133 0.00601498 0 5.09286e-05 0 2.9556e-05 0 3.66692e-05 0 0.00598542 0 1.42594e-05 0 118.106 0.0318544
134 0.00601994 0 5.10169e-05 0 2.95855e-05 0 3.67252e-05 0 0.00599035 0 1.42917e-05 0 117.999 0.0364834
135 0.00602702 0 5.10628e-05 0 2.96578e-05 0 3.67899e-05 0 0.00599736 0 1.42729e-05 0 118.031 0.0314071
136 0.00603654 0 5.11816e-05 0 2.97059e-05 0 3.68712e-05 0 0.00600683 0 1.43104e-05 0 117.944 0.0422789
137 0.00604795 0 5.12285e-05 0 2.97577e-05 0 3.69327e-05 0 0.00601819 0 1.42958e-05 0 118.058 0.0437494
138 0.00604994 0 5.13248e-05 0 2.98086e-05 0 3.70115e-05 0 0.00602013 0 1.43134e-05 0 117.876 0.0494909
139 0.00606612 0 5.13903e-05 0 2.98672e-05 0 3.70823e-05 0 0.00603626 0 1.4308e-05 0 118.041 0.0389921
140 0.00606502 0 5.14409e-05 0 2.99202e-05 0 3.71309e-05 0 0.0060351 0 1.431e-05 0 117.903 0.0381108
141 0.00607488 0 5.15568e-05 0 2.99811e-05 0 3.72056e-05 0 0.0060449 0 1.43512e-05 0 117.83 0.0594413
142 0.00608335 0 5.15622e-05 0 3.00181e-05 0 3.72659e-05 0 0.00605333 0 1.42963e-05 0 117.981 0.0312238
143 0.00608387 0 5.16562e-05 0 3.00688e-05 0 3.73272e-05 0 0.00605381 0 1.4329e-05 0 117.776 0.0385516
144 0.00609534 0 5.17185e-05 0 3.01366e-05 0 3.73983e-05 0 0.0060652 0 1.43202e-05 0 117.856 0.0425482
145 0.00609549 0 5.18091e-05 0 3.01767e-05 0 3.74629e-05 0 0.00606531 0 1.43462e-05 0 117.653 0.0409631
146 0.00610768 0 5.1857e-05 0 3.02255e-05 0 3.75304e-05 0 0.00607746 0 1.43266e-05 0 117.779 0.0367254
147 0.00611031 0 5.193e-05 0 3.027e-05 0 3.75937e-05 0 0.00608004 0 1.43364e-05 0 117.664 0.0330793
148 0.00612235 0 5.19872e-05 0 3.03325e-05 0 3.76386e-05 0 0.00609201 0 1.43486e-05 0 117.766 0.0318898
149 0.0061236 0 5.20602e-05 0 3.03921e-05 0 3.77232e-05 0 0.00609321 0 1.4337e-05 0 117.625 0.041398
150 0.00613248 0 5.21599e-05 0 3.04529e-05 0 3.777e-05 0 0.00610203 0 1.43898e-05 0 117.571 0.0397166
