#X h w pH Kernel
0.00926667 1e-10 0.0001 10 10
0.0093 1e-10 0.0001 10 10
0.00933333 1e-10 0.0001 10 10
0.00936667 1e-10 0.0001 10 10
0.0094 1e-10 0.0001 10 10
0.00943333 1e-10 0.0001 10 10
0.00946667 1e-10 0.0001 10 10
0.0095 1e-10 0.0001 10 10
0.00953333 1e-10 0.0001 10 10
0.00956667 1e-10 0.0001 10 10
0.0096 1e-10 0.0001 10 10
0.00963333 1e-10 0.0001 10 10
0.00966667 1e-10 0.0001 10 10
0.0097 1e-10 0.0001 10 10
0.00973333 1e-10 0.0001 10 10
0.00976667 1e-10 0.0001 10 10
0.0098 1e-10 0.0001 10 10
0.00983333 1e-10 0.0001 10 10
0.00986667 1e-10 0.0001 10 10
0.0099 1e-10 0.0001 10 10
0.00993333 1e-10 0.0001 10 10
0.00996667 1e-10 0.0001 10 10
0.01 1e-10 0.0001 10 10
0.0100333 1e-10 0.0001 10 10
0.0100667 1e-10 0.0001 10 10
0.0101 1e-10 0.0001 10 10
0.0101333 1e-10 0.0001 10 10
0.0101667 1e-10 0.0001 10 10
0.0102 1e-10 0.0001 10 10
0.0102333 1e-10 0.0001 10 10
0.0102667 1e-10 0.0001 10 10
0.0103 1e-10 0.0001 10 10
0.0103333 1e-10 0.0001 10 10
0.0103667 1e-10 0.0001 10 10
0.0104 1e-10 0.0001 10 10
0.0104333 1e-10 0.0001 10 10
0.0104667 1e-10 0.0001 10 10
0.0105 1e-10 0.0001 10 10
0.0105333 1e-10 0.0001 10 10
0.0105667 1e-10 0.0001 10 10
0.0106 1e-10 0.0001 10 10
0.0106333 1e-10 0.0001 10 10
0.0106667 1e-10 0.0001 10 10
0.0107 1e-10 0.0001 10 10
0.0107333 1e-10 0.0001 10 10
0.0107667 1e-10 0.0001 10 10
0.0108 1e-10 0.0001 10 10
0.0108333 1e-10 0.0001 10 10
0.0108667 1e-10 0.0001 10 10
0.0109 1e-10 0.0001 10 10
0.0109333 1e-10 0.0001 10 10
0.0109667 1e-10 0.0001 10 10
0.011 1e-10 0.0001 10 10
0.0110333 1e-10 0.0001 10 10
0.0110667 1e-10 0.0001 10 10
0.0111 1e-10 0.0001 10 10
0.0111333 1e-10 0.0001 10 10
0.0111667 1e-10 0.0001 10 10
0.0112 1e-10 0.0001 10 10
0.0112333 1e-10 0.0001 10 10
0.0112667 1e-10 0.0001 10 10
0.0113 1e-10 0.0001 10 10
0.0113333 1e-10 0.0001 10 10
0.0113667 1e-10 0.0001 10 10
0.0114 1e-10 0.0001 10 10
0.0114333 1e-10 0.0001 10 10
0.0114667 1e-10 0.0001 10 10
0.0115 1e-10 0.0001 10 10
0.0115333 1e-10 0.0001 10 10
0.0115667 1e-10 0.0001 10 10
0.0116 1e-10 0.0001 10 10
0.0116333 1e-10 0.0001 10 10
0.0116667 1e-10 0.0001 10 10
0.0117 1e-10 0.0001 10 10
0.0117333 1e-10 0.0001 10 10
0.0117667 1e-10 0.0001 10 10
0.0118 1e-10 0.0001 10 10
0.0118333 1e-10 0.0001 10 10
0.0118667 1e-10 0.0001 10 10
0.0119 1e-10 0.0001 10 10
0.0119333 1e-10 0.0001 10 10
0.0119667 1e-10 0.0001 10 10
0.012 1e-10 0.0001 10 10
0.0120333 1e-10 0.0001 10 10
0.0120667 1e-10 0.0001 10 10
0.0121 1e-10 0.0001 10 10
0.0121333 1e-10 0.0001 10 10
0.0121667 1e-10 0.0001 10 10
0.0122 1e-10 0.0001 10 10
0.0122333 1e-10 0.0001 10 10
0.0122667 1e-10 0.0001 10 10
0.0123 1e-10 0.0001 10 10
0.0123333 1e-10 0.0001 10 10
0.0123667 1e-10 0.0001 10 10
0.0124 1e-10 0.0001 10 10
0.0124333 1e-10 0.0001 10 10
0.0124667 1e-10 0.0001 10 10
0.0125 1e-10 0.0001 10 10
0.0125333 1e-10 0.0001 10 10
0.0125667 1e-10 0.0001 10 10
0.0126 1e-10 0.0001 10 10
0.0126333 1e-10 0.0001 10 10
0.0126667 1e-10 0.0001 10 10
0.0127 1e-10 0.0001 10 10
0.0127333 1e-10 0.0001 10 10
0.0127667 1e-10 0.0001 10 10
0.0128 1e-10 0.0001 10 10
0.0128333 1e-10 0.0001 10 10
0.0128667 1e-10 0.0001 10 10
0.0129 1e-10 0.0001 10 10
0.0129333 1e-10 0.0001 10 10
0.0129667 1e-10 0.0001 10 10
0.013 1e-10 0.0001 10 10
0.0130333 1e-10 0.0001 10 10
0.0130667 1e-10 0.0001 10 10
0.0131 1e-10 0.0001 10 10
0.0131333 1e-10 0.0001 10 10
0.0131667 1e-10 0.0001 10 10
0.0132 1e-10 0.0001 10 10
0.0132333 1e-10 0.0001 10 10
0.0132667 1e-10 0.0001 10 10
0.0133 1e-10 0.0001 10 10
0.0133333 1e-10 0.0001 10 10
0.0133667 1e-10 0.0001 10 10
0.0134 1e-10 0.0001 10 10
0.0134333 1e-10 0.0001 10 10
0.0134667 1e-10 0.0001 10 10
0.0135 1e-10 0.0001 10 10
0.0135333 1e-10 0.0001 10 10
0.0135667 1e-10 0.0001 10 10
0.0136 1e-10 0.0001 10 10
0.0136333 1e-10 0.0001 10 10
0.0136667 1e-10 0.0001 10 10
0.0137 1e-10 0.0001 10 10
0.0137333 1e-10 0.0001 10 10
0.0137667 1e-10 0.0001 10 10
0.0138 1e-10 0.0001 10 10
0.0138333 1e-10 0.0001 10 10
0.0138667 1e-10 0.0001 10 10
0.0139 1e-10 0.0001 10 10
0.0139333 1e-10 0.0001 10 10
0.0139667 1e-10 0.0001 10 10
0.014 1e-10 0.0001 10 10
0.0140333 1e-10 0.0001 10 10
0.0140667 1e-10 0.0001 10 10
0.0141 1e-10 0.0001 10 10
0.0141333 1e-10 0.0001 10 10
0.0141667 1e-10 0.0001 10 10
0.0142 1e-10 0.0001 10 10
0.0142333 1e-10 0.0001 10 10
0.0142667 1e-10 0.0001 10 10
0.0143 1e-10 0.0001 10 10
0.0143333 1e-10 0.0001 10 10
0.0143667 1e-10 0.0001 10 10
0.0144 1e-10 0.0001 10 10
0.0144333 1e-10 0.0001 10 10
0.0144667 1e-10 0.0001 10 10
0.0145 1e-10 0.0001 10 10
0.0145333 1e-10 0.0001 10 10
0.0145667 1e-10 0.0001 10 10
0.0146 1e-10 0.0001 10 10
0.0146333 1e-10 0.0001 10 10
0.0146667 1e-10 0.0001 10 10
0.0147 1e-10 0.0001 10 10
0.0147333 1e-10 0.0001 10 10
0.0147667 1e-10 0.0001 10 10
0.0148 1e-10 0.0001 10 10
0.0148333 1e-10 0.0001 10 10
0.0148667 1e-10 0.0001 10 10
0.0149 1e-10 0.0001 10 10
0.0149333 1e-10 0.0001 10 10
0.0149667 1e-10 0.0001 10 10
0.015 1e-10 0.0001 10 10
0.0150333 1e-10 0.0001 10 10
0.0150667 1e-10 0.0001 10 10
0.0151 1e-10 0.0001 10 10
0.0151333 1e-10 0.0001 10 10
0.0151667 1e-10 0.0001 10 10
0.0152 1e-10 0.0001 10 10
0.0152333 1e-10 0.0001 10 10
0.0152667 1e-10 0.0001 10 10
0.0153 1e-10 0.0001 10 10
0.0153333 1e-10 0.0001 10 10
0.0153667 1e-10 0.0001 10 10
0.0154 1e-10 0.0001 10 10
0.0154333 1e-10 0.0001 10 10
0.0154667 1e-10 0.0001 10 10
0.0155 1e-10 0.0001 10 10
0.0155333 1e-10 0.0001 10 10
0.0155667 1e-10 0.0001 10 10
0.0156 1e-10 0.0001 10 10
0.0156333 1e-10 0.0001 10 10
0.0156667 1e-10 0.0001 10 10
0.0157 1e-10 0.0001 10 10
0.0157333 1e-10 0.0001 10 10
0.0157667 1e-10 0.0001 10 10
0.0158 1e-10 0.0001 10 10
0.0158333 1e-10 0.0001 10 10
0.0158667 1e-10 0.0001 10 10
0.0159 1e-10 0.0001 10 10
0.0159333 1e-10 0.0001 10 10
0.0159667 1e-10 0.0001 10 10
0.016 1e-10 0.0001 10 10
0.0160333 1e-10 0.0001 10 10
0.0160667 1e-10 0.0001 10 10
0.0161 1e-10 0.0001 10 10
0.0161333 1e-10 0.0001 10 10
0.0161667 1e-10 0.0001 10 10
0.0162 1e-10 0.0001 10 10
0.0162333 1e-10 0.0001 10 10
0.0162667 1e-10 0.0001 10 10
0.0163 1e-10 0.0001 10 10
0.0163333 1e-10 0.0001 10 10
0.0163667 1e-10 0.0001 10 10
0.0164 1e-10 0.0001 10 10
0.0164333 1e-10 0.0001 10 10
0.0164667 1e-10 0.0001 10 10
0.0165 1e-10 0.0001 10 10
0.0165333 1e-10 0.0001 10 10
0.0165667 1e-10 0.0001 10 10
0.0166 1e-10 0.0001 10 10
0.0166333 1e-10 0.0001 10 10
0.0166667 1e-10 0.0001 10 10
0.0167 1e-10 0.0001 10 10
0.0167333 1e-10 0.0001 10 10
0.0167667 1e-10 0.0001 10 10
0.0168 1e-10 0.0001 10 10
0.0168333 1e-10 0.0001 10 10
0.0168667 1e-10 0.0001 10 10
0.0169 1e-10 0.0001 10 10
0.0169333 1e-10 0.0001 10 10
0.0169667 1e-10 0.0001 10 10
0.017 1e-10 0.0001 10 10
0.0170333 1e-10 0.0001 10 10
0.0170667 1e-10 0.0001 10 10
0.0171 1e-10 0.0001 10 10
0.0171333 1e-10 0.0001 10 10
0.0171667 1e-10 0.0001 10 10
0.0172 1e-10 0.0001 10 10
0.0172333 1e-10 0.0001 10 10
0.0172667 1e-10 0.0001 10 10
0.0173 1e-10 0.0001 10 10
0.0173333 1e-10 0.0001 10 10
0.0173667 1e-10 0.0001 10 10
0.0174 1e-10 0.0001 10 10
0.0174333 1e-10 0.0001 10 10
0.0174667 1e-10 0.0001 10 10
0.0175 1e-10 0.0001 10 10
0.0175333 1e-10 0.0001 10 10
0.0175667 1e-10 0.0001 10 10
0.0176 1e-10 0.0001 10 10
0.0176333 1e-10 0.0001 10 10
0.0176667 1e-10 0.0001 10 10
0.0177 1e-10 0.0001 10 10
0.0177333 1e-10 0.0001 10 10
0.0177667 1e-10 0.0001 10 10
0.0178 1e-10 0.0001 10 10
0.0178333 1e-10 0.0001 10 10
0.0178667 1e-10 0.0001 10 10
0.0179 1e-10 0.0001 10 10
0.0179333 1e-10 0.0001 10 10
0.0179667 1e-10 0.0001 10 10
0.018 1e-10 0.0001 10 10
0.0180333 1e-10 0.0001 10 10
0.0180667 1e-10 0.0001 10 10
0.0181 1e-10 0.0001 10 10
0.0181333 1e-10 0.0001 10 10
0.0181667 1e-10 0.0001 10 10
0.0182 1e-10 0.0001 10 10
0.0182333 1e-10 0.0001 10 10
0.0182667 1e-10 0.0001 10 10
0.0183 1e-10 0.0001 10 10
0.0183333 1e-10 0.0001 10 10
0.0183667 1e-10 0.0001 10 10
0.0184 1e-10 0.0001 10 10
0.0184333 1e-10 0.0001 10 10
0.0184667 1e-10 0.0001 10 10
0.0185 1e-10 0.0001 10 10
0.0185333 1e-10 0.0001 10 10
0.0185667 1e-10 0.0001 10 10
0.0186 1e-10 0.0001 10 10
0.0186333 1e-10 0.0001 10 10
0.0186667 1e-10 0.0001 10 10
0.0187 1e-10 0.0001 10 10
0.0187333 1e-10 0.0001 10 10
0.0187667 1e-10 0.0001 10 10
0.0188 1e-10 0.0001 10 10
0.0188333 1e-10 0.0001 10 10
0.0188667 1e-10 0.0001 10 10
0.0189 1e-10 0.0001 10 10
0.0189333 1e-10 0.0001 10 10
0.0189667 1e-10 0.0001 10 10
0.019 1e-10 0.0001 10 10
0.0190333 1e-10 0.0001 10 10
0.0190667 1e-10 0.0001 10 10
0.0191 1e-10 0.0001 10 10
0.0191333 1e-10 0.0001 10 10
0.0191667 1e-10 0.0001 10 10
0.0192 1e-10 0.0001 10 10
0.0192333 1e-10 0.0001 10 10
0.0192667 1e-10 0.0001 10 10
0.0193 1e-10 0.0001 10 10
0.0193333 1e-10 0.0001 10 10
0.0193667 1e-10 0.0001 10 10
